etiqueta,experiencia_slug,tipo_regla,precio_cop,min_pax,max_pax,origen,orden,activa,supabase_id
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,952111cd-b207-4a9e-9f66-d2b1705c6a1c
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,b08b9359-9aaa-4e1e-8caa-d884b4279225
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,ca2d0c50-1b0f-4c7e-beaf-cad9b04540a9
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,486e9c19-4aab-44db-968e-37561f9b9519
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,d64956fa-ab40-4a38-9a5a-6f9768a631bd
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,cf00b050-de8e-4b1b-92ec-fc800eddf275
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,e0762d7a-5df0-402f-b8d1-7b27a0f1f963
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,4443329e-022f-4094-a4e4-bc848b31a3dd
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,3cf1d92f-d1ff-46af-b1cf-3a3837cfd2fa
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,84ca7ba3-9656-451e-812e-fbd94cbc0e85
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,bc0276bd-86ff-4248-a8d1-47d9e6f578ec
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,0e7c3728-2cb3-414d-8788-dfd634163321
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,d5e857e7-541c-4094-ab09-70e093e2222a
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,9abb42ee-b91f-41b7-90ce-387390f8f4b1
